run,file_name,file_size,file_id,status,upload_time,completed_time,latency_sec,http_status
1,test-1.bin,10485760,49096141-c381-4a3e-a76b-fa78823e92b9,approved,2026-05-22T14:49:12.298Z,2026-05-22T16:49:12.699516285+02:00,0.402,201
2,test-1.bin,10485760,2003b40c-b6d1-41b1-9b52-5a2dd93e0d70,approved,2026-05-22T14:49:14.901Z,2026-05-22T16:49:15.302679148+02:00,0.402,201
3,test-1.bin,10485760,69a26b90-c8b4-48a6-8eae-dabb87920cf3,approved,2026-05-22T14:49:17.441Z,2026-05-22T16:49:17.922764400+02:00,0.482,201
4,test-1.bin,10485760,a634421a-ab02-4fb3-9881-2e3908ea9553,approved,2026-05-22T14:49:20.822Z,2026-05-22T16:49:21.726769267+02:00,0.905,201
5,test-1.bin,10485760,a74f1a04-7d60-4087-97a3-4f962e6ba075,approved,2026-05-22T14:49:26.494Z,2026-05-22T16:49:26.781957454+02:00,0.288,201
6,test-1.bin,10485760,a380c547-cbc2-46d1-8f5d-75df638f9107,approved,2026-05-22T14:49:29.261Z,2026-05-22T16:49:29.671425087+02:00,0.410,201
7,test-1.bin,10485760,16503ed1-f2b4-419c-90e3-2054911f42d3,approved,2026-05-22T14:49:32.503Z,2026-05-22T16:49:32.950818395+02:00,0.448,201
8,test-1.bin,10485760,1b6953e6-17c6-466d-a4d7-b1fbcdb51259,approved,2026-05-22T14:49:36.112Z,2026-05-22T16:49:36.890956913+02:00,0.779,201
9,test-1.bin,10485760,23cb835f-bbd3-4441-8ed3-9fca0d6a03f4,approved,2026-05-22T14:49:41.326Z,2026-05-22T16:49:42.408678820+02:00,1.083,201
10,test-1.bin,10485760,1c26bff6-e958-44e3-bbc8-9f66db579576,approved,2026-05-22T14:49:46.659Z,2026-05-22T16:49:47.247527493+02:00,0.589,201
