run,file_name,file_size,file_id,status,upload_time,completed_time,latency_sec,http_status
1,cold-10mb-1.bin,10485760,a046fe79-d54e-4660-ba04-6bf9170660de,approved,2026-05-29T09:06:39.288Z,2026-05-29T11:06:53.552309591+02:00,14.264,201
2,cold-10mb-2.bin,10485760,b18f5e3d-45b1-4ed0-a941-03273033b57d,approved,2026-05-29T09:08:39.173Z,2026-05-29T11:08:48.042877714+02:00,8.870,201
3,cold-10mb-3.bin,10485760,30d3f8bd-7349-4bf2-9d29-fb764d2bed35,approved,2026-05-29T09:10:38.629Z,2026-05-29T11:10:48.977529210+02:00,10.349,201
4,cold-10mb-4.bin,10485760,6bb140c3-20da-45d6-b35c-39a2c576b0ab,approved,2026-05-29T09:12:38.099Z,2026-05-29T11:12:50.296476725+02:00,12.197,201
5,cold-10mb-5.bin,10485760,078d0149-9bb8-422b-b34f-4e91419c86ef,approved,2026-05-29T09:14:41.204Z,2026-05-29T11:14:53.372424501+02:00,12.168,201
6,cold-10mb-6.bin,10485760,a81959fe-cf09-4d7b-a015-4a67ea748bc2,approved,2026-05-29T09:16:40.319Z,2026-05-29T11:16:51.348512178+02:00,11.030,201
7,cold-10mb-7.bin,10485760,f4e51df6-93a5-4492-ac22-99595709e72d,approved,2026-05-29T09:21:38.280Z,2026-05-29T11:21:50.190490672+02:00,11.910,201
8,cold-10mb-8.bin,10485760,fc04d844-d2be-4812-80c9-3c4d377ff128,approved,2026-05-29T09:23:46.787Z,2026-05-29T11:23:59.558324495+02:00,12.771,201
9,cold-10mb-9.bin,10485760,b97cc274-228e-4095-ab58-d8f3c5c7bdc8,approved,2026-05-29T09:29:40.485Z,2026-05-29T11:29:53.874902469+02:00,13.390,201
10,cold-10mb-10.bin,10485760,66e603c9-8373-40da-beb7-620c46dedb49,approved,2026-05-29T09:36:26.122Z,2026-05-29T11:36:40.304238991+02:00,14.182,201
11,cold-10mb-11.bin,10485760,41640a46-5928-44a3-ba62-93f13a8117e8,approved,2026-05-29T09:37:54.836Z,2026-05-29T11:38:15.843644439+02:00,21.008,201
12,cold-10mb-12.bin,10485760,8da05094-be99-46b0-8f31-663c28ef2964,approved,2026-05-29T09:39:37.749Z,2026-05-29T11:39:50.774863545+02:00,13.026,201
13,cold-10mb-13.bin,10485760,6ea9ff07-7dde-4551-897d-4dd29538e7b9,approved,2026-05-29T09:41:08.399Z,2026-05-29T11:41:19.415532992+02:00,11.017,201
14,cold-10mb-14.bin,10485760,206ab77d-1770-41b9-95d1-1bab328d5375,approved,2026-05-29T09:42:38.573Z,2026-05-29T11:42:51.472755814+02:00,12.900,201
15,cold-10mb-15.bin,10485760,eb4f8506-ff0c-4420-b7a8-4aea462eb99f,approved,2026-05-29T09:44:10.620Z,2026-05-29T11:44:23.893366594+02:00,13.273,201
16,cold-10mb-16.bin,10485760,b6896c50-3a27-429c-82e6-8be52b664fe0,approved,2026-05-29T09:45:43.694Z,2026-05-29T11:45:52.211638453+02:00,8.518,201
17,cold-10mb-17.bin,10485760,15d1b5f4-6b9d-469d-af8c-2de0c6f45baa,approved,2026-05-29T09:47:10.601Z,2026-05-29T11:47:22.270934126+02:00,11.670,201
18,cold-10mb-18.bin,10485760,459458cb-ebdc-4c1e-9ed1-2de319409dda,approved,2026-05-29T09:48:38.161Z,2026-05-29T11:48:49.209918672+02:00,11.049,201
19,cold-10mb-19.bin,10485760,87bc4087-dfc4-462c-ab07-776f29c054b1,approved,2026-05-29T09:50:09.044Z,2026-05-29T11:50:23.364210293+02:00,14.320,201
20,cold-10mb-20.bin,10485760,237cff06-c80e-41fc-8ced-1805fcc11c61,approved,2026-05-29T09:51:44.085Z,2026-05-29T11:51:54.449763716+02:00,10.365,201
21,cold-10mb-21.bin,10485760,bef9f2cc-05d8-48da-bee1-341081050d58,approved,2026-05-29T09:53:14.410Z,2026-05-29T11:53:28.201947389+02:00,13.792,201
22,cold-10mb-22.bin,10485760,ac362e74-33fe-405f-81f4-3ddf0b23a6e6,approved,2026-05-29T09:54:44.697Z,2026-05-29T11:54:56.169198183+02:00,11.472,201
23,cold-10mb-23.bin,10485760,55b0a2f1-9cb1-4345-9675-09ed6cd76f44,approved,2026-05-29T09:59:12.389Z,2026-05-29T11:59:24.402076320+02:00,12.013,201
24,cold-10mb-24.bin,10485760,3266b2c0-d0b5-4df0-817f-508ebebda013,approved,2026-05-29T10:00:38.214Z,2026-05-29T12:00:53.316922840+02:00,15.103,201
25,cold-10mb-25.bin,10485760,30a7bc61-d876-4e4e-8fa6-349231fece16,approved,2026-05-29T10:02:13.050Z,2026-05-29T12:02:25.052503644+02:00,12.003,201
26,cold-10mb-26.bin,10485760,57ff4012-470e-4b23-a0f3-e9331b9a3af4,approved,2026-05-29T10:03:48.703Z,2026-05-29T12:04:01.878992749+02:00,13.176,201
27,cold-10mb-27.bin,10485760,2a83e95b-b029-4b76-b92c-a7622a4a061e,approved,2026-05-29T10:05:19.675Z,2026-05-29T12:05:36.127748101+02:00,16.453,201
28,cold-10mb-28.bin,10485760,418743d6-a606-41bc-bb4d-0b2183dae91f,approved,2026-05-29T10:06:57.946Z,2026-05-29T12:07:15.303523146+02:00,17.358,201
29,cold-10mb-29.bin,10485760,008c5ee6-e4b8-40ec-a1b0-95d7cbb5607e,approved,2026-05-29T10:08:41.183Z,2026-05-29T12:09:04.026539020+02:00,22.844,201
30,cold-10mb-30.bin,10485760,fb0cb61c-861f-40ed-952b-ef5d86191074,approved,2026-05-29T10:10:21.751Z,2026-05-29T12:10:44.295800892+02:00,22.545,201
